Galaxy,RA2000 (deg),DEC2000 (deg),Axis ratio (b/a),NED Inc (deg),NED PA (deg),Alt Inc (deg),Alt PA (deg),Alt Inc/PA Ref,Adopted Inc (deg),Adopted PA (deg),Inc from velfit-circ,Error on inc,PA from velfit-circ,Error on PA,Vsys from velfit,Error on Vsys,"D_25 ("")",K_20 (2MASS),NED median m-M,NED Std. Dev m-M,Abs K Magnitude,Distance (Mpc),General description from NED,Description of CO image,# Comments,WWT Tour?,Spitzer 3.6um,"CO bmaj ("")","CO bmin ("")",CO bpa (deg),CO image nx,CO image ny,"CO pixsca ("")", CO res (kpc),"HI bmaj ("")","HI bmin ("")",HI bpa (deg),HI image nx,HI image ny,"HI pixsca ("")", HI res (kpc),"HI imsz ("")",Abs B Magnitude,App B Magnitude,Galatic B-Band Extinction,App B Magnitude Err,Abs B Magnitude Err,Abs B Magnitude (with internal extinction correction),Log(O/H)+12 KK04,Log(O/H)+12 PT05,Log(O/H)+12C KK04,Log(O/H)+12G KK04,Log(O/H)+12C PT05,Log(O/H)+12G PT05,Ref(Z),Log(O/H)+12,Log(O/H)+12 Error,Type
 NGC0337,14.95871,-7.57797,0.56,56,158,52,121,2008MNRAS.385..553D,52,121,,,,,,,173,9.297,31.58,0.20,-22.28,20.70,"This spiral has been classified as a ""peculiar"" galaxy because of its irregular arm morphology, consisting of multiple segments.",A bright peak of CO emission appears southeast of the galaxy center.,,,S4G,2.53,2.23,-18,137,133,1,0.238,28.51,20.52,-164,126,126,8,2.43,1008,-19.93,12.06,0.406,0.13,0.24,-20.4,8.93,8.26,0.00,0.00,0.00,0.00,M2010,8.60,0.34,SBcd
 NGC0772,29.83158,19.00753,0.80,37,135,N/A,N/A,,37,315,,,,,,,434.7,7.440,32.40,0.47,-24.96,30.20,"This ""lopsided"" galaxy has one especially strong spiral arm, with the other arms appearing relatively smooth.","CO emission is notably absent from the central region, but is well-detected in the arms.",,Y,S4G,2.68,1.50,50,137,134,1,0.294,48.09,42.98,89,135,135,12,6.66,1620,-21.57,11.09,0.263,0.13,0.49,-22.4,8.87,8.87,0.00,0.00,0.00,0.00,Anderson2010,8.87,0.13,Sb
NGC1156,44.92625,25.23783,0.40,67,40,52.11,271.88,2011A&A...530A..29V,52,272,N/A,,,,,,198.7,9.545,29.24,0.31,-19.70,7.05,,,,,Fazio 4434176,3.89,2.77,88,137,134,1,0.112,6.97,6.23,-23,301,301,2,0.23,602,-17.73,12.32,0.811,0.13,0.34,-18.34,8.19,8.19,0.00,0.00,0.00,0.00,Engelbracht2008,8.19,0.10,IB
 NGC1569,67.70441,64.84794,0.46,63,118,63,112,2005AJ....130..524M,63,112,,,,,,,217.8,7.997,26.99,0.96,-18.99,2.50,"This dwarf irregular galaxy has recently undergone a period of starburst activity, leading to the formation of two massive star clusters (""super star clusters"").",CO emission is confined to a few off-center blobs.,,,Fazio 4434944,4.74,4.27,87,136,133,1,0.055,6.65,5.61,17,451,451,2,0.07,902,-17.65,11.86,2.516,0.09,0.96,-18.69,8.13,8.13,0.00,0.00,0.00,0.00,Engelbracht2008,8.13,0.12,IB
 NGC1637,70.36741,-2.85796,0.78,39,33,N/A,N/A,,39,213,18.19,5.09,197.99,0.7,720.55,1.11,238.9,8.196,29.95,0.54,-21.75,9.77,"Weakly barred galaxy with an asymmetric outer spiral arm, in contrast to two fairly symmetric inner spiral arms.",Spiral arms emanating from a horizontal bar-like structure are clearly visible in CO.,,Y,S4G,2.81,2.43,-20,137,133,1,0.124,23.27,19.22,169,201,201,8,1.00,1608,-18.63,11.47,0.147,0.13,0.56,-18.68,9.08,9.08,0.00,0.00,0.00,0.00,vanZee1998,9.08,0.15,Sc
 NGC2681,133.38642,51.31367,0.84,33,28,N/A,N/A,,33,28,,,,,,,217.8,7.595,30.90,0.40,-23.31,15.14,Early-type galaxy with tightly wound (nearly circular) spiral arms and a bright nucleus.,"Again, CO is only found near the nucleus.",,,S4G,2.59,1.39,49,137,132,1,0.139,,,,,,,,0,-19.89,11.09,0.082,0.1,0.41,-19.86,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00,0.00,S0-a
 NGC2782,138.52130,40.11370,0.78,39,15,30,75,2008A&A...482..133H,30,75,,,,,,,208,8.999,32.86,0.96,-23.86,37.33,"Probable colliding system (based on appearance of two tidal tails) with a nuclear starburst, possibly fed by gas from the infalling companion.","CARMA observations target only the inner part of the main galaxy, and reveal two closely spaced peaks near the nucleus.",,,S4G,2.65,1.46,52,137,134,1,0.356,7.47,6.24,88,401,401,2,1.24,802,-20.62,12.3,0.059,0.13,0.97,-20.76,8.59,8.59,0.00,0.00,0.00,0.00,Engelbracht2008,8.59,0.10,SABa
NGC2976,146.81442,67.91639,0.38,69,141,65,335,2008AJ....136.2648D,65,335,,,,,,,353.3,7.669,27.76,0.48,-20.09,3.56,"This dwarf spiral galaxy in the M81 group is an example of a ""pure disk"" system lacking a bulge or bar.","A few patches of CO emission are seen, roughly following a spiral pattern.",,Y,S4G,2.80,1.65,49,148,163,1,0.037,8.86,7.66,47,451,451,2,0.14,902,-17.20,10.82,0.258,0.13,0.50,-17.64,8.98,8.36,0.00,0.00,0.00,0.00,M2010,8.67,0.31,SAc
 NGC3147,154.22355,73.40075,0.82,35,145,32,147,2008MNRAS.388..500E,32,147,36.83,0.85,148.09,0.21,2785.02,0.58,233.4,7.498,33.06,0.33,-25.56,40.93,Face-on galaxy with tightly wound multiple arms and an elliptical bulge.,"Again CO is absent from the central regions, forming a more ringlike distribution around the bulge.",,Y,S4G,5.41,4.21,69,139,135,1,0.947,21.33,18.02,136,134,134,6,3.89,804,-21.72,11.43,0.088,0.16,0.37,-22.03,9.38,8.66,0.00,0.00,0.00,0.00,LZ-M2010,9.02,0.36,Sbc
 NGC3198,154.97897,45.54962,0.35,70,40,72,215,2008AJ....136.2648D,72,215,,,,,,,510.7,8.041,30.73,0.26,-22.69,14.00,"Nearby, highly inclined galaxy with lots of HII regions spread throughout the disk.","A central peak in CO emission, with much weaker lanes of molecular gas in the disk.",,Y,S4G,2.94,2.63,95,137,132,1,0.189,7.74,6.53,66,801,801,2,0.48,1602,-19.90,10.87,0.044,0.1,0.28,-20.79,8.90,8.34,9.10,-0.66,8.49,-0.50,M2010,8.62,0.28,Sc
