path,prefix,posfix,tag,psf,mask
/Users/tonywong/Data/lmc_all/,,.gm.mom0,hi_mom0,-1,
/Users/tonywong/Data/lmc_all/,,.gm.mom1,hi_mom1,-1,
/Users/tonywong/Data/lmc_all/,,.gm.peak,hi_peak,-1,
/Users/tonywong/Data/lmc_all/,,_v9.co.vbin.sgm.mom0,magma_mom0,-1,
/Users/tonywong/Data/lmc_all/,,_v9.co.vbin.gm.mom1,magma_mom1,-1,
/Users/tonywong/Data/lmc_all/,,_v9.co.vbin.gm.peak,magma_peak,-1,
/Users/tonywong/Data/lmc_all/,,_v9.co.vbin.sgm.roi,magma_roi,-1,
/Users/tonywong/Data/lmc_all/,,.HERITAGE.SPIRE350.img,spire350,24.9,
/Users/tonywong/Data/lmc_all/,SAGE_,_MIPS24_E12,mips24,6,
/Users/tonywong/Data/lmc_all/,SAGE_,_IRAC8.0_2_mosaic,irac8,6,
/Users/tonywong/Data/lmc_all/,SAGE_,_IRAC8.0_2_resid,irac8res,6,
