path,prefix,posfix,tag,psf,mask
/Users/Rui/Workspace/magclouds/gasmap/,,.co_nanten.cm.sm.mom0,co_nanten,-1,
/Users/Rui/Workspace/magclouds/gasmap/,,.co_magma.cm.sm.mom0,co_magma,-1,
/Users/Rui/Workspace/magclouds/gasmap/,,.hi.cm.sm.mom0,hi,-1,
/Users/Rui/Workspace/magclouds/gasmap/,,.co_nanten.cm.sm.emom0,coe_nanten,-1,
/Users/Rui/Workspace/magclouds/gasmap/,,.co_magma.cm.sm.emom0,coe_magma,-1,
/Users/Rui/Workspace/magclouds/gasmap/,,  .hi.cm.sm.emom0,hie,-1,
/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,  .HERITAGE.PACS100.img,pacs100,6.8,
/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,  .HERITAGE.PACS160.img,pacs160,11.4,
/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,  .HERITAGE.SPIRE250.img,spire250,18.2,
/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,  .HERITAGE.SPIRE350.img,spire350,24.9,
/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,  .HERITAGE.SPIRE500.img,spire500,36.3,
/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,  .HERITAGE.PACS100.unc,pacs100e,6.8,
/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,  .HERITAGE.PACS160.unc,pacs160e,11.4,
/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,  .HERITAGE.SPIRE250.unc,spire250e,18.2,
/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,  .HERITAGE.SPIRE350.unc,spire350e,24.9,
/Volumes/Scratch/data_repo/herschel/HERITAGE/Data/,,  .HERITAGE.SPIRE500.unc,spire500e,36.3,
/Volumes/Scratch/data_repo/21cm/gass/,,  _gass.gm.mc.mom0,higass_mc,-1,
/Volumes/Scratch/data_repo/21cm/gass/,,  _gass.gm.mc.emom0,higasse_mc,-1,
/Volumes/Scratch/data_repo/21cm/gass/,,  _gass.gm.mw.mom0,higass_mw,-1,
/Volumes/Scratch/data_repo/21cm/gass/,,  _gass.gm.mw.emom0,higasse_mw,-1,
/Volumes/Scratch/data_repo/21cm/gass/,,  _gass.gm.mc.mom1,higass_mc_mom1,-1,
/Volumes/Scratch/data_repo/21cm/gass/,,  _gass.gm.mw.mom1,higass_mw_mom1,-1,
/Users/Rui/Workspace/magclouds/sagemap/,,_MIPS24_GAUSS41,mips24,41,
/Users/Rui/Workspace/magclouds/sagemap/,,_IRAC8.0_GAUSS41,irac8,41,
/Users/Rui/Workspace/magclouds/gasmap/,,.ha_mcels,halpha,2,
/Users/Rui/Workspace/magclouds/gasmap/,,.co_nanten.cm,nanten3d,-1,
/Users/Rui/Workspace/magclouds/gasmap/,,.co_magma.cm,magma3d,-1,
/Users/Rui/Workspace/magclouds/gasmap/,,.hi.cm,hi3d,-1,
/Volumes/Scratch/data_repo/21cm/gass/,,  _gass,higass3d,-1,
/Users/Rui/Workspace/magclouds/sagemap/,,_MIPS24_mosaic,mips24_org,6,
/Users/Rui/Workspace/magclouds/sagemap/,,_IRAC8.0_mosaic,irac8_org,1.98,
/Users/Rui/Workspace/magclouds/gasmap/,,_v9.co.vbin.sgm.mom0,co_magma_sgm,-1,
/Users/Rui/Workspace/magclouds/gasmap/,,_v9.co.vbin.sgm.emom0,coe_magma_sgm,-1,
/Users/Rui/Workspace/magclouds/sagemap/,,_IRAC8.0_resid,irac8resid_org,1.98,
/Users/Rui/Workspace/magclouds/gasmap/,,.hi.cm.sm.peak,hipk,-1,
