Galaxy,RA2000 (deg),DEC2000 (deg),Axis ratio (b/a),NED Inc (deg),NED PA (deg),Alt Inc (deg),Alt PA (deg),Alt Inc/PA Ref,Adopted Inc (deg),Adopted PA (deg),Inc from velfit-circ,Error on inc,PA from velfit-circ,Error on PA,Vsys from velfit,Error on Vsys,"D_25 ("")",K_20 (2MASS),NED median m-M,NED Std. Dev m-M,Abs K Magnitude,Distance (Mpc),General description from NED,Description of CO image,# Comments,WWT Tour?,Spitzer 3.6um,"CO bmaj ("")","CO bmin ("")",CO bpa (deg),CO image nx,CO image ny,"CO pixsca ("")", CO res (kpc),VLA Config,"HI bmaj ("")","HI bmin ("")",HI bpa (deg),HI image nx,HI image ny,"HI pixsca ("")", HI res (kpc),"HI imsz ("")","HI sz_temp ("")",Ref(HI),SD comparison,HI quality comments,Abs B Magnitude,App B Magnitude,Galatic B-Band Extinction,App B Magnitude Err,Abs B Magnitude Err,Abs B Magnitude (with internal extinction correction),Log(O/H)+12 KK04,Log(O/H)+12M KK04,Log(O/H)+12 PT05,Log(O/H)+12M PT05,Log(O/H)+12C KK04,Log(O/H)+12G KK04,Log(O/H)+12C PT05,Log(O/H)+12G PT05,Ref(Z),Log(O/H)+12,Log(O/H)+12 Error,Type,Web Log(Mstar),Web Log(Mstar) Error,Web Log(SFR),Web Log(SFR) Error,Web Log(MH2),Web Log(MH2) Error,Web Log(MHI),Web Log(MHI) (Error),21cmsize(arcmin),SDRA,SDDEC,SDSS
0337,14.95871,-7.57797,0.56,56,158,52,121,2008MNRAS.385..553D,52,121,,,,,,,173,9.297,31.64,0.2,-22.34,21.3,"This spiral has been classified as a ""peculiar"" galaxy because of its irregular arm morphology, consisting of multiple segments.",A bright peak of CO emission appears southeast of the galaxy center.,,,S4G,2.53,2.23,-18,137,133,1,0.245,C+D,28.51,20.52,-164,126,126,8,2.5,1008,425,archive,another galaxy is to the south of NGC0337,,-19.99,12.06,0.406,0.13,0.24,-20.4,8.93,8.93,8.26,8.26,8.93,0,8.26,0,M2010,8.595,0.34,SBcd,9.64,0.11,-0.05,0.34,8.94,0.22,9.72,0.02,8.5,14.95875,-7.5758333,yes
0772,29.83158,19.00753,0.8,37,135,N/A,N/A,,37,315,,,,,,,434.7,7.44,32.4,0.47,-24.96,30.2,"This ""lopsided"" galaxy has one especially strong spiral arm, with the other arms appearing relatively smooth.","CO emission is notably absent from the central region, but is well-detected in the arms.",,Y,S4G,2.68,1.5,50,137,134,1,0.294,BC+D,48.09,42.98,89,135,135,12,6.66,1620,850,archive,,"interference: Amp& phase show strong nonlinear changing across the bandwith and time at some short baselines, indicating strong continuum source(s) showed in sidelobes.",-21.57,11.09,0.263,0.13,0.49,-22.4,8.87,8.87,8.66,8.66,8.87,0,8.66,0,Anderson2010,8.765,0.21,Sb,11.29,0.18,1.01,0.21,10.25,0.08,10.12,0.02,8.5,29.82354167,18.94474444,yes
1156,44.92625,25.23783,0.4,67,40,52.11,271.88,2011A&A...530A..29V,52,272,N/A,,,,,,198.7,9.545,29.24,0.31,-19.7,7,,,,,Fazio 4434176,3.89,2.77,88,137,134,1,0.112,B+C+D,6.97,6.23,-23,301,301,2,0.23,602,325,lthings/wrst,continuum subtraction problem,not many line-free channels for continuum-subtraction,-17.73,12.32,0.811,0.13,0.34,-18.34,8.18,8.18,8.18,8.18,8.18,0,8.18,0,Engelbracht2008,8.18,0.1,IB,8.98,0.11,-0.24,0.28,9.32,0,9.03,0.01,7.5,,,no
1569,67.70441,64.84794,0.46,63,118,63,112,2005AJ....130..524M,63,112,,,,,,,217.8,7.997,26.99,0.96,-18.99,2.5,"This dwarf irregular galaxy has recently undergone a period of starburst activity, leading to the formation of two massive star clusters (""super star clusters"").",CO emission is confined to a few off-center blobs.,,,Fazio 4434944,4.74,4.27,87,136,133,1,0.055,B+C+D,6.65,5.61,17,451,451,2,0.07,902,400,lthings/things,,Galactic Component,-17.65,11.86,2.516,0.09,0.96,-18.69,8.13,8.13,8.13,8.13,8.13,0,8.13,0,Engelbracht2008,8.13,0.12,IB,9.73,0.11,-0.27,0.34,6.63,0.07,7.97,0.02,7.5,,,no
1637,70.36741,-2.85796,0.78,39,33,N/A,N/A,,39,213,18.19,5.09,197.99,0.7,720.55,1.11,238.9,8.196,29.95,0.54,-21.75,9.8,"Weakly barred galaxy with an asymmetric outer spiral arm, in contrast to two fairly symmetric inner spiral arms.",Spiral arms emanating from a horizontal bar-like structure are clearly visible in CO.,,Y,S4G,2.81,2.43,-20,137,133,1,0.124,C+D,23.27,19.22,169,201,201,8,1,1608,1000,archive,,,-18.63,11.47,0.147,0.13,0.56,-18.68,9.1,9.1,8.5,8.5,9.12,-0.34,8.52,-0.34,vanZee1998,8.68,0.34,Sc,9.73,0.12,-0.09,0.22,9.43,0,9.28,0.01,6.5,,,no
2681,133.38642,51.31367,0.84,33,28,N/A,N/A,,33,28,,,,,,,217.8,7.595,30.9,0.4,-23.31,15.1,Early-type galaxy with tightly wound (nearly circular) spiral arms and a bright nucleus.,"Again, CO is only found near the nucleus.",,,S4G,2.59,1.39,49,137,132,1,0.139,,,,,,,,,0,300,no,,,-19.89,11.09,0.082,0.1,0.41,-19.86,0,0,0,0,0,0,0,0,None,0,0,S0-a,10.37,0.3,-0.4,0.24,8.97,0.08,7.53,0.11,100,,,yes
2782,138.5213,40.1137,0.78,39,15,30,75,2008A&A...482..133H,30,75,,,,,,,208,8.999,31.03,0.96,-22.03,16.1,"Probable colliding system (based on appearance of two tidal tails) with a nuclear starburst, possibly fed by gas from the infalling companion.","CARMA observations target only the inner part of the main galaxy, and reveal two closely spaced peaks near the nucleus.",,,S4G,2.65,1.46,52,137,134,1,0.153,AB+C+D,7.47,6.24,88,401,401,2,0.53,802,500,1994AJ107-1695S/WRST,SD flux may be underestimated because the SD beam is not large to cover the whole gal,absorption feature at the center,-18.79,12.3,0.059,0.13,0.97,-20.76,8.59,8.59,8.59,8.59,8.59,0,8.59,0,Engelbracht2008,8.59,0.1,SABa,10.59,0.28,0.66,0.21,9.68,0.08,9.69,0.04,2.5,,,yes
2976,146.81442,67.91639,0.38,69,141,65,335,2008AJ....136.2648D,65,335,,,,,,,353.3,7.669,27.76,0.48,-20.09,3.6,"This dwarf spiral galaxy in the M81 group is an example of a ""pure disk"" system lacking a bulge or bar.","A few patches of CO emission are seen, roughly following a spiral pattern.",,Y,S4G,2.8,1.65,49,148,163,1,0.037,B+C+D,8.86,7.66,47,451,451,2,0.14,902,450,things,,Galactic Component,-17.2,10.82,0.258,0.13,0.5,-17.64,8.98,8.98,8.36,8.36,8.98,0,8.36,0,M2010,8.67,0.31,SAc,9.24,0.1,-1.28,0.23,8.08,0.1,8.15,0.02,100,,,yes
3147,154.22355,73.40075,0.82,35,145,32,147,2008MNRAS.388..500E,32,147,36.83,0.85,148.09,0.21,2785.02,0.58,233.4,7.498,33.06,0.33,-25.56,40.9,Face-on galaxy with tightly wound multiple arms and an elliptical bulge.,"Again CO is absent from the central regions, forming a more ringlike distribution around the bulge.",,Y,S4G,5.41,4.21,69,139,135,1,0.947,B+C+D,21.33,18.02,136,134,134,6,3.89,804,450,archive/wrst,SD flux may be underestimated because the SD beam is not large to cover the whole gal,Another galaxy is in the primary beam FOV with a velocity 2630-2740km/s,-21.72,11.43,0.088,0.16,0.37,-22.03,9.38,9.38,8.66,8.66,9.38,0,8.66,0,LZ-M2010,9.02,0.36,Sbc,11.26,0.13,0.75,0.17,10.58,0.1,10.09,0.04,4.5,,,no
3198,154.97897,45.54962,0.35,70,40,72,215,2008AJ....136.2648D,72,215,,,,,,,510.7,8.041,30.73,0.26,-22.69,14,"Nearby, highly inclined galaxy with lots of HII regions spread throughout the disk.","A central peak in CO emission, with much weaker lanes of molecular gas in the disk.",,Y,S4G,2.94,2.63,95,137,132,1,0.189,B+C+D,7.74,6.53,66,801,801,2,0.48,1602,1100,things/WSRT(2007A\&A461-455B),,,-19.9,10.87,0.044,0.1,0.28,-20.79,9.17,8.9,9.54,8.34,9.1,-0.66,8.49,-0.5,M2010,9.22,0.28,Sc,10.15,0.13,0.27,0.31,9.8,0,10.13,0.03,7,,,yes
