path,prefix,posfix,tag,psf,mask
/Volumes/Scratch/data_repo/projects/sting/irac/,NGC,.phot_bgsub.1,irac1,1.66,.1.final_mask
/Volumes/Scratch/data_repo/projects/sting/irac/,NGC,.phot_bgsub.1e,irac1e,1.66,
/Volumes/Scratch/data_repo/projects/sting/irac/,NGC,.phot_bgsub.4,irac4,1.98,
/Volumes/Scratch/data_repo/projects/sting/irac/,NGC,.phot_bgsub.4e,irac4e,1.98,
/Volumes/Scratch/reduc/co10/msc/export/,n,co.line.cm.sgm.mom0,co,-1,
/Volumes/Scratch/reduc/co10/msc/export/,n,co.line.cm.sgm.emom0,coe,-1,
/Volumes/Scratch/reduc/co10/msc/export/,n,co.line.cm.sgm.mom1,comom1,-1,
/Volumes/Scratch/reduc/co10/msc/export/,n,co.line.cm.sgm.mom2,comom2,-1,
/Volumes/Scratch/reduc/co10/msc/export/,n,co.line.cm.sgm.snrpk,cosnrpk,-1,
/Volumes/Scratch/reduc/co10/msc/export/,n,co.line.cm.sgm.rms,corms,-1,
/Volumes/Scratch/reduc/21cm/msc/export/,n,hi.line.cm.sgm.mom0,hi,-1,
/Volumes/Scratch/reduc/21cm/msc/export/,n,hi.line.cm.sgm.emom0,hie,-1,
/Volumes/Scratch/reduc/21cm/msc/export/,n,hi.line.cm.sgm.mom1,himom1,-1,
/Volumes/Scratch/reduc/21cm/msc/export/,n,hi.line.cm.sgm.mom2,himom2,-1,
/Volumes/Scratch/reduc/21cm/msc/export/,n,hi.line.cm.sgm.snrpk,hisnrpk,-1,
/Volumes/Scratch/reduc/21cm/msc/export/,n,hi.line.cm.sgm.rms,hirms,-1,
/Volumes/Scratch/reduc/21cm/msc/export/,n,hi.cont.cm,cont,-1,
/Volumes/Scratch/reduc/21cm/msc/export/,n,hi.cont.sen,conte,-1,
/Users/Rui/Workspace/sting/himom_sim/,,him.sgm.mom0,him,-1,
/Users/Rui/Workspace/sting/himom_sim/,,himlow.sgm.mom0,himlow,-1,
/Users/Rui/Workspace/sting/himom_sim/,,himhigh.sgm.mom0,himhigh,-1,
/Volumes/Scratch/data_repo/projects/sting/galex/,ngc,-nd-wt,nuv-wt,5.3,
/Volumes/Scratch/data_repo/projects/sting/galex/,ngc,-nd-intbgsub,nuv,5.3,
/Volumes/Scratch/data_repo/projects/sting/galex/,ngc,-fd-wt,fuv-wt,4.3,
/Volumes/Scratch/data_repo/projects/sting/galex/,ngc,-fd-intbgsub,fuv,4.3,
/Users/Rui/Workspace/sting/gromom/,n,co.sgm.mom0_hsen,co_hsen,-1,
/Users/Rui/Workspace/sting/gromom/,n,co.sgm.emom0_hsen,coe_hsen,-1,
/Users/Rui/Workspace/sting/gromom/,n,co.sgm.mom0_lsen,co_lsen,-1,
/Users/Rui/Workspace/sting/gromom/,n,co.sgm.emom0_lsen,coe_lsen,-1,
/Users/Rui/Workspace/sting/gromom/,n,hi.sgm.mom0_hsen,hi_hsen,-1,
/Users/Rui/Workspace/sting/gromom/,n,hi.sgm.emom0_hsen,hie_hsen,-1,
/Users/Rui/Workspace/sting/gromom/,n,hi.sgm.mom0_lsen,hi_lsen,-1,
/Users/Rui/Workspace/sting/gromom/,n,hi.sgm.emom0_lsen,hie_lsen,-1,
/Volumes/Scratch/reduc/co10/msc/export/,n,co.line.err,coerr,-1,
/Volumes/Scratch/data_repo/optical/sting/,NGC,.frame-g,sdssg,1,
/Volumes/Scratch/data_repo/optical/sting/,NGC,.dss,dss,1,
