Galaxy,RA2000 (deg),DEC2000 (deg),Axis ratio (b/a),NED Inc (deg),NED PA (deg),Alt Inc (deg),Alt PA (deg),Alt Inc/PA Ref,Adopted Inc (deg),Adopted PA (deg),Inc from velfit-circ,Error on inc,PA from velfit-circ,Error on PA,Vsys from velfit,Error on Vsys,"D_25 ("")",K_20 (2MASS),NED median m-M,NED Std. Dev m-M,Abs K Magnitude,Distance (Mpc),General description from NED,Description of CO image,# Comments,WWT Tour?,Spitzer 3.6um,"CO bmaj ("")","CO bmin ("")",CO bpa (deg),CO image nx,CO image ny,"CO pixsca ("")", CO res (kpc),"HI bmaj ("")","HI bmin ("")",HI bpa (deg),HI image nx,HI image ny,"HI pixsca ("")", HI res (kpc),"HI imsz ("")",Abs B Magnitude,App B Magnitude,Galatic B-Band Extinction,App B Magnitude Err,Abs B Magnitude Err,Abs B Magnitude (with internal extinction correction),Log(O/H)+12 KK04,Log(O/H)+12 PT05,Log(O/H)+12C KK04,Log(O/H)+12G KK04,Log(O/H)+12C PT05,Log(O/H)+12G PT05,Ref(Z),Log(O/H)+12,Log(O/H)+12 Error,Type
ddo053,128.527083,66.181667,,,,,,,29,121,,,,,,,92.9,,27.76,0.55,,3.56,,,,,,,,,,,,,,,,,,,,,-13.42,14.48,0.137,0.17,0.58,,8.00,7.60,0.00,0.00,0.00,0.00,M2010,7.80,0.20,Im
ddo154,193.521629,27.14852,,,,,,,44,35,,,,,,,181.2,,28.03,0.09,,4.04,,,,,,,,,,,,,,,,,,,,,-14.12,13.94,0.034,0.18,0.20,,8.02,7.54,0.00,0.00,0.00,0.00,M2010,7.78,0.24,IBm
hoi,145.146278,71.179555,,,,,,,36,45,,,,,,,217.8,,28.11,0.40,,4.19,,,,,,,,,,,,,,,,,,,,,-15.29,13,0.183,0.2,0.45,,8.04,7.61,0.00,0.00,0.00,0.00,M2010,7.83,0.22,IABm
hoii,124.77075,70.720028,,,,,,,37,16,,,,,,,476.6,,27.65,0.71,,3.39,,,,,,,,,,,,,,,,,,,,,-16.67,11.1,0.115,0.15,0.73,,8.13,7.72,0.00,0.00,0.00,0.00,M2010,7.93,0.21,Im
m81dwa,125.97958,71.03222,,,,,,,26,173,,,,,,,77.3,,27.68,0.29,,3.44,,,,,,,,,,,,,,,,,,,,,-11.40,16.35,0.073,0.1,0.31,,7.59,7.30,0.00,0.00,0.00,0.00,LZ-M2010,7.44,0.15,I?
m81dwb,151.3775,70.364444,,,,,,,49,140,,,,,,,52.3,,29.70,0.65,,8.71,,,,,,,,,,,,,,,,,,,,,-14.81,15.19,0.295,0.18,0.67,,8.19,7.84,0.00,0.00,0.00,0.00,M2010,8.02,0.18,Im
ngc0628,24.17375,15.78306,,,,,,,24,25,,,,,,,628.3,,29.93,0.28,,9.68,,,,,,,,,,,,,,,,,,,,,-20.23,9.95,0.254,0.1,0.30,,9.25,8.45,9.19,-0.57,8.43,-0.27,M2010,8.85,0.40,SAc
ngc0925,36.820379,33.57915,,,,,,,56,102,,,,,,,628.3,,29.77,0.33,,8.99,,,,,,,,,,,,,,,,,,,,,-19.36,10.69,0.275,0.11,0.35,,8.79,8.25,8.91,0.42,8.32,-0.21,M2010,8.52,0.27,SABd
ngc2366,112.2225,69.21417,,,,,,,66,26,,,,,,,487.7,,27.60,0.45,,3.31,,,,,,,,,,,,,,,,,,,,,-16.30,11.43,0.132,0.1,0.46,,8.44,7.94,0.00,0.00,0.00,0.00,LZ-M2010,8.19,0.25,
ngc2403,114.214238,65.60242,,,,,,,56,128,,,,,,,1312.7,,27.69,0.41,,3.45,,,,,,,,,,,,,,,,,,,,,-18.91,8.93,0.145,0.07,0.42,,8.81,8.33,8.89,-0.26,8.42,-0.32,M2010,8.57,0.24,SABcd
ngc2841,140.508505,50.9777,,,,,,,64,147,,,,,,,487.7,,30.94,0.70,,15.42,,,,,,,,,,,,,,,,,,,,,-20.91,10.09,0.055,0.1,0.71,,9.21,8.54,9.34,-0.42,8.72,-0.63,M2010,8.88,0.34,SAb
ngc2903,143.042049,21.50087,,,,,,,61,17,,,,,,,755.4,,29.85,0.41,,9.33,,,,,,,,,,,,,,,,,,,,,-20.28,9.68,0.113,0.1,0.42,,9.13,8.47,0.00,0.00,0.00,0.00,LZ-M2010,8.80,0.33,
ngc2976,146.81461,67.91626,,,,,,,63,143,,,,,,,353.3,,27.76,0.48,,3.56,,,,,,,,,,,,,,,,,,,,,-17.20,10.82,0.258,0.13,0.50,,8.98,8.36,0.00,0.00,0.00,0.00,M2010,8.67,0.31,SAc
ngc3077,150.825557,68.73339,,,,,,,34,45,,,,,,,322.2,,27.91,0.55,,3.82,,,,,,,,,,,,,,,,,,,,,-17.54,10.61,0.243,0.13,0.57,,8.65,8.11,0.00,0.00,0.00,0.00,LZ-M2010,8.38,0.27,
ngc3184,154.57075,41.42436,,,,,,,21,135,,,,,,,444.8,,30.49,0.52,,12.53,,,,,,,,,,,,,,,,,,,,,-20.19,10.36,0.06,0.1,0.53,,9.15,8.51,9.30,-0.52,8.65,-0.46,M2010,8.83,0.32,
ngc3198,154.978708,45.54974,,,,,,,67,35,,,,,,,510.7,,30.73,0.26,,14.00,,,,,,,,,,,,,,,,,,,,,-19.90,10.87,0.044,0.1,0.28,,8.90,8.34,9.10,-0.66,8.49,-0.50,M2010,8.62,0.28,
