path,prefix,posfix,tag,psf,mask
/Volumes/Scratch/data_repo/projects/things/irac12/,NGC,.phot_bgsub.1,irac1,1.66,.1.final_mask
/Volumes/Scratch/data_repo/projects/things/irac12/,NGC,.phot_bgsub.1e,irac1e,1.66,
/Volumes/Scratch/data_repo/projects/things/irac4/,ngc,.phot_bgsub.4,irac4,1.98,
/Volumes/Scratch/data_repo/projects/things/irac4/,ngc,.phot_bgsub.4e,irac4e,1.98,
/Volumes/Scratch/data_repo/projects/things/mips/,ngc,.mips24,mips24,6,
/Volumes/Scratch/data_repo/projects/things/mips/,ngc,.mips70,mips70,18,
/Volumes/Scratch/data_repo/projects/things/mips/,ngc,.mips160,mips160,40,
/Volumes/Scratch/data_repo/projects/things/herschel/,ngc,.pacs70,pacs70,5.6,
/Volumes/Scratch/data_repo/projects/things/herschel/,ngc,.pacs100,pacs100,6.8,
/Volumes/Scratch/data_repo/projects/things/herschel/,ngc,.pacs160,pacs160,11.4,
/Volumes/Scratch/data_repo/projects/things/herschel/,ngc,.spire250,spire250,18.2,
/Volumes/Scratch/data_repo/projects/things/herschel/,ngc,.spire350,spire350,24.9,
/Volumes/Scratch/data_repo/projects/things/herschel/,ngc,.spire500,spire500,36.3,
/Volumes/Scratch/data_repo/projects/things/galex/,ngc,-nd-wt,nuv-wt,5.3,
/Volumes/Scratch/data_repo/projects/things/galex/,ngc,-nd-intbgsub,nuv,5.3,
/Volumes/Scratch/data_repo/projects/things/galex/,ngc,-fd-wt,fuv-wt,4.3,
/Volumes/Scratch/data_repo/projects/things/galex/,ngc,-fd-intbgsub,fuv,4.3,
/Volumes/Scratch/data_repo/projects/things/co/,,.co21.mom0,co21,-1,
/Volumes/Scratch/data_repo/projects/things/co/,,.co21.emom0,co21e,-1,
/Volumes/Scratch/data_repo/projects/things/hi/,,.hi.mom0,hi,-1,
/Volumes/Scratch/data_repo/projects/things/hi/,,.hi.emom0,hie,-1,
/Users/ruixue/Workspace/things/gromom/,n,co.sgm.mom0_lsen,co_lsen,-1,
/Users/ruixue/Workspace/things/gromom/,n,co.sgm.emom0_lsen,coe_lsen,-1,
/Users/ruixue/Workspace/things/gromom/,n,hi.sgm.mom0_hsen,hi_hsen,-1,
/Users/ruixue/Workspace/things/gromom/,n,hi.sgm.emom0_hsen,hie_hsen,-1,
/Users/ruixue/Workspace/things/gromom/,n,hi.sgm.mom0_lsen,hi_lsen,-1,
/Users/ruixue/Workspace/things/gromom/,n,hi.sgm.emom0_lsen,hie_lsen,-1,
